"SAMPLE_ID","SSN","Cluster","Plot","Depth","Country","Site","Region","Latitude","Longitude","PlotCultMgd","pH","m3.Al","m3.B","m3.Ca","m3.Cu","m3.Fe","m3.K","m3.Mg","m3.Mn","m3.Na","m3.P","m3.S","m3.Zn","PSI","ExNa","ExCa","ExMg","ExK","ExBas","EC","ExAcidity","Nitrogen_total","Carbon_total","Nitrogen_acidified","Carbon_acidified","Clay","Silt","Sand","Al","As","Ba","Ca","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Rb","S","Sb","Se","Si","Sr","Ti","U","V","Y","Zn","Zr","Albite","Calcite","Clinochlore","Diopside","Goethite","Hematite","Hornblende","Kaolinite","Maghemite","Microcline","Montmorillonite","Muscovite","Nacrite","Quartz","Tremolite","Vermiculite","Gibbsite","Halloysite","Magnetite","Orthoclase","Gypsum","Titanium.Oxide","Dolomite","Ilmenite","Anorthite","Epidote","Lepidocrocite","Fluorapatite","Palygorskite","Fayalite","Antigorite","Iron.Oxide","Topaz","Lithiophorite","Beidellite","Biotite","Sepiolite","Talc","Tridymite"
5928,"icr005928",1,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.93070316,36.09182358,"Yes",7.563,747.2,0.414,946.8,1.244,80.02,209.6,224.7,107.2,35.86,6.199,11.05,2.034,1.592510707,0.155913043,4.734,1.857024793,0.536061381,7.282999218,0.218,0.09,0.034659319,0.472341756,0.029621345,0.425854405,18.815,15.056,66.129,72781.65,2.09,435.97,29670.56,7.98,68.45,12.85,21040.52,1135.51,20157.06,0.8805,349.17,2.29,1.806,8.98,21.16,685.97,5.77,30.16,914.26,7.6,1.68,501076.54,429.88,1583.97,0.8,58.41,14.29,20.37,387.3,29.9,0,0,4.3,0,0,3.5,0,0,12.5,0,1.9,0,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5929,"icr005929",1,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.93070316,36.09182358,"Yes",6.907,852.3,0.2954,629.8,1.317,92.18,146.9,307.6,114.5,40.62,1.34,8.272,2.058,17.70090868,0.176608696,3.149,2.54214876,0.375703325,6.243460781,0.115,0.13,0.022545991,0.267117788,0.023068986,0.263235499,12.264,7.299,80.437,76207.67,2.42,429.89,25300.01,8.3,68.38,12.97,23071.62,1157.61,19690.74,0.8805,298.9,1.89,1.806,9.27,25,698.92,6.72,33.86,879.04,7.53,1.35,451949.82,397.18,1769.07,0.95,69.08,14.29,23.2,271.74,29.9,0,0,4.3,0,0,3.5,0,0,12.5,0,1.9,0,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5946,"icr005946",2,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.90836716,36.08665466,"Yes",6.905,594.7,0.1794,729.5,1.031,85.29,83.85,365,63,40.73,4.06,8.87,1.275,1.448795833,0.177086957,3.6475,3.016528926,0.214450128,7.05556601,0.111,0.18,0.031389142,0.404901157,0.031339549,0.392982831,26.457,18.246,55.297,76980.83,1.47,486.8,28126.44,8.13,59.89,10.92,22243.57,1211.41,17272.65,0.8805,273.35,2.43,1.806,10.51,21.95,757.26,4.25,15.84,906.39,7.85,1.83,421215.91,656.62,2001.92,0.0255,67.15,11.98,32.51,355.45,39,0,0,3.9,0,0,4.7,2,0,0,0,2.8,0,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5947,"icr005947",2,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.90836716,36.08665466,"Yes",6.873,517,0.1328,661.7,0.7326,72.55,58.59,315.6,35.34,55.37,2.749,10.13,1.795,1.670532398,0.24073913,3.3085,2.608264463,0.149846547,6.307350141,0.116,0.14,0.017422978,0.245474055,0.017062043,0.233495613,24.115,17.82,58.065,76106.34,2.55,533.33,26477.53,7.61,44.55,9.32,18178.64,1179.66,17385.75,0.8805,214.28,2.04,1.806,9.49,14.48,658.1,7.24,12.6,876.63,7.33,2.1,442854.27,644.9,1281.67,0.0255,65.18,11.59,27.21,255.17,39.4,0,0,5.1,0,0,4.7,1.8,0,0,0,2.2,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5965,"icr005965",3,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.88353014,36.0907402,"No",7.879,601.6,0.6949,7212,1.635,60.15,247.3,380.6,129.4,33.95,13.05,13.41,1.281,30.63797853,0.147608696,36.06,3.145454545,0.632480818,39.98554406,0.238,0.27,0.086142813,1.143696864,0.083145402,0.860801299,31.999,25.643,42.359,83558.86,1.72,375.69,44903.67,9.38,52.41,20.04,31928.52,1211.86,21686.07,0.8805,494.81,2.46,1.806,13.91,20.41,1024.41,4.7,46.07,1042.44,6.93,1.78,353238.49,563.62,2855.97,0.53,85.74,20.43,31.62,380.04,42,0,0,2,0,0,0,0,0,11.4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5966,"icr005966",3,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.88353014,36.0907402,"No",7.401,961.4,0.5955,1985,1.866,123.4,167.7,375.8,166.1,36.51,8.997,9.889,1.484,19.51400217,0.15873913,9.925,3.105785124,0.428900256,13.61842451,0.205,0.18,0.053300625,0.762786309,0.05456703,0.731870254,23.537,14.922,61.541,84034.6,1.15,472.96,33732.01,9.88,60.59,17.49,33678.83,1323.94,20531.49,0.8805,496.49,1.88,1.806,10.16,20.08,978.19,2.39,47.84,972.06,6.39,1.46,341304.95,514.12,2354.38,0.76,79.39,18.49,36.91,260.6,61,0,0,0,0,0,2.6,0,0,0,0,3.5,0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,"icr005985",4,2,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.86680222,36.09944916,"No",7.78,765.6,1.625,4551,3.257,98.46,297.5,333.3,124.7,31.6,27.1,23.39,2.25,26.97103745,0.137391304,22.755,2.754545455,0.760869565,26.40780632,0.321,0.09,0.156864509,1.528926293,0.147645906,1.399423997,50.513,19.007,30.481,80826.35,2.56,482.69,27091.02,8.98,81.45,27.45,29822.26,1248.53,28440.76,0.8805,415.3,1.94,1.806,18.22,52.42,893.56,8.27,63.46,1033.69,7.5,1.94,387624.18,311.6,1732.4,1.68,78.23,17.38,31.93,369,19.9,0,0,2.3,0,0,1.7,0,0,16.4,0,2,0,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5986,"icr005986",4,2,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.86680222,36.09944916,"No",7.896,195.2,1.165,11368,3.834,39.04,166.4,396.8,130,53,17.47,35.89,2.081,46.56910451,0.230434783,56.84,3.279338843,0.425575448,60.77534907,0.643,0.18,0.076236707,1.301443656,0.072276302,0.792260329,16.44,12.15,71.41,83188.2,2.55,411.41,43261.09,8.84,70.45,30.52,28279.73,1287.42,27392.9,0.8805,390.61,1.39,1.806,15.08,55.56,1019.29,7.31,61.78,1038.93,7.4,1.55,356709.61,322.23,1887.09,1.57,81,14.92,31.32,243.59,24,6.2,0,0,0,0,0,0,0,18.1,0,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5998,"icr005998",5,1,"Topsoil","Tanzania","Chinyanghuku","East Africa",-6.93858,36.1244,"",7.549,730.7,0.5476,1344,1.515,174.5,240.7,366.1,124.2,35.05,17.27,11,1.667,13.61345928,0.152391304,6.72,3.025619835,0.615601023,10.51361216,0.205,0.18,0.069543426,0.65791597,0.063852972,0.662248929,17.17,14.768,68.062,82080.73,2.56,389.18,39200.58,10.17,77.25,21.25,34745.54,1214.35,30578.54,0.8805,590.59,2.24,1.806,12.09,21.84,994.89,7.97,70.7,1019.79,6.94,2.46,365479.76,582.32,3110.53,0.88,82.93,20.35,47.02,364.69,56,0,0,0,0,0,2.6,0.5,0,0,0,4.3,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5999,"icr005999",5,1,"Subsoil","Tanzania","Chinyanghuku","East Africa",-6.93858,36.1244,"",6.959,787.3,0.2145,1014,1.369,148.2,159.4,431.1,85.84,45.35,13.88,10.09,2.303,9.016533346,0.197173913,5.07,3.562809917,0.407672634,9.237656465,0.136,0.09,0.054425529,0.453510652,0.046600573,0.408363283,15.621,12.91,71.469,83927.25,1.7,483.54,38179.29,10.66,80.63,21.56,36767.2,1287.17,29156.58,0.8805,547.19,2.07,1.806,12.65,21.79,1011.91,5.37,67.87,1008.81,6.06,1.52,346309.07,577.23,2637.46,0.93,87.52,20.92,45.04,333.95,39.5,0,0,0,0,0.4,3.5,1.1,0,20.6,0,3.9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
